original_name,wikidata_id,aliases,relationships,brands,status,aliases_text,num_aliases,brands_text,num_brands,num_subsidiaries,num_parent_organizations,num_successors,num_predecessors,subsidiary_names,brand_names
Team17,Q1384984,"['17-Bit Software', 'Team 17', 'Team17 Software Limited', 'Team 17 Digital Limited', 'Team17 Digital Ltd', 'Team17 Software Ltd.', 'Team17']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,17-Bit Software|Team 17|Team17 Software Limited|Team 17 Digital Limited|Team17 Digital Ltd|Team17 Software Ltd.|Team17,7,,0,0,0,0,0,,
VCE,Q7906626,['VCE'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,VCE,1,,0,0,0,0,0,,
Rackspace,Q2990586,"['dba Rackspace', 'Rackspace Managed Hosting', 'Rackspace, Inc', 'Rackspace', 'Rackspace Technology']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"dba Rackspace|Rackspace Managed Hosting|Rackspace, Inc|Rackspace|Rackspace Technology",5,,0,0,0,0,0,,
iSheriff,Q6080078,['Isheriff'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Isheriff,1,,0,0,0,0,0,,
Inteno,Q30295711,['Inteno (Sweden)'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Inteno (Sweden),1,,0,0,0,0,0,,
Microsemi,Q6840048,['Microsemi'],"{'subsidiaries': ['Q240333', 'Q4053546', 'Q29123716', 'Q29123718', 'Q30338635'], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Microsemi,1,,0,5,0,0,0,Actel|Zarlink|Microsemi (Israel)|Microsemi (United Kingdom)|Microsemi (Canada),
Ciena,Q1091783,['Ciena'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Ciena,1,,0,0,0,0,0,,
Imagine Communications,Q16250016,['Imagine Communications'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Imagine Communications,1,,0,0,0,0,0,,
Viotek,Q136416883,['Viotek'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Viotek,1,,0,0,0,0,0,,
Innodisk,Q112148958,['Innodisk'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Innodisk,1,,0,0,0,0,0,,
Gigastone,Q19853262,['Gigastone'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Gigastone,1,,0,0,0,0,0,,
Akamai Technologies,Q415598,"['Akamai Technologies, Inc.', 'Akamai', 'Akamai Technologies']","{'subsidiaries': ['Q7249597'], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",['RedSwoosh'],found,"Akamai Technologies, Inc.|Akamai|Akamai Technologies",3,RedSwoosh,1,1,0,0,0,Prolexic Technologies,RedSwoosh
Chassis Plans,Q5087433,"['Chassis Plans, LLC', 'Chassis Plans']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"Chassis Plans, LLC|Chassis Plans",2,,0,0,0,0,0,,
Cumulus Networks,Q15110072,['Cumulus Networks'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Cumulus Networks,1,,0,0,0,0,0,,
Metropolis Technologies,Q131191821,['Metropolis Technologies'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Metropolis Technologies,1,,0,0,0,0,0,,
ENTEC,Q134894709,"['ENTEC a.s.', 'ENTEC']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,ENTEC a.s.|ENTEC,2,,0,0,0,0,0,,
Swan,Q13404010,"['SWAN, a.s.', 'SWAN Mobile, a. s.', 'SWAN']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",['4ka'],found,"SWAN, a.s.|SWAN Mobile, a. s.|SWAN",3,4ka,1,0,0,0,0,,4ka
Violin Memory,Q7933366,['Violin Memory'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Violin Memory,1,,0,0,0,0,0,,
Quanmax,Q26944930,[],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,,0,,0,0,0,0,0,,
Malwarebytes,Q19831929,"['Malwarebytes Inc.', 'Malwarebytes']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Malwarebytes Inc.|Malwarebytes,2,,0,0,0,0,0,,
SINDOH,Q12604172,"['Sindoh', 'Sindoricoh', 'Sindoh Co., Ltd.']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"Sindoh|Sindoricoh|Sindoh Co., Ltd.",3,,0,0,0,0,0,,
Altaro,Q4735946,['AltaRock Energy'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,AltaRock Energy,1,,0,0,0,0,0,,
Accusoft,Q4672935,['Accusoft'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Accusoft,1,,0,0,0,0,0,,
